seed,t_s,objective_currency
6,55.840721130371094,883.199486
6,55.84572672843933,883.198291
6,55.85009288787842,883.197096
6,55.85927605628967,883.195901
6,55.86602973937988,883.194706
6,55.87350606918335,883.193511
6,55.884180307388306,883.192316
6,55.89617657661438,883.191121
6,56.43556785583496,883.189926
6,56.49398994445801,883.188731
6,56.505470752716064,883.187536
6,56.518054723739624,883.186341
6,56.53227186203003,883.185146
6,56.54067945480347,883.183951
6,56.5472629070282,883.182756
6,56.553746700286865,883.181561
6,56.557682037353516,883.180366
6,56.56191301345825,883.179171
6,56.565897703170776,883.177976
6,56.6122682094574,883.176781
6,58.52056288719177,882.377326
7,3.9904685020446777,5167.037159
7,6.719969272613525,5167.037116
7,7.448713064193726,5167.00091
7,8.447039365768433,5167.000867
7,8.451464414596558,5167.000824
7,8.454710006713867,5009.798142
7,9.576423168182373,5004.098142
7,10.067606687545776,1891.296642
7,10.87671685218811,1822.023987
7,10.88146686553955,1822.023002
7,10.889595746994019,1822.022017
7,10.894382953643799,1822.021032
7,10.898584842681885,1822.020047
7,10.951593160629272,1822.019062
7,11.003060817718506,1822.018077
7,11.10153865814209,1822.017092
7,11.136096954345703,1822.016107
7,11.180583953857422,1822.015122
7,12.125563859939575,1822.014137
7,12.145268201828003,1822.013152
7,12.210960388183594,1787.829182
7,12.821775436401367,1784.081162
7,12.89002537727356,1784.081119
7,12.913102626800537,1784.079924
7,13.776976108551025,1784.078729
7,13.791958332061768,1784.077534
7,14.874686241149902,1784.076339
7,14.967034101486206,1772.378619
7,15.026670217514038,1772.378576
7,15.851973056793213,1772.378533
7,15.926167726516724,1662.914036
7,15.92994475364685,1662.913993
7,16.172674417495728,1639.926973
7,16.20420503616333,889.210074
7,16.68504762649536,886.215349
7,22.699453115463257,886.08744
7,25.314263582229614,885.10746
7,48.950823068618774,883.216465
7,50.37026071548462,881.02417
8,3.3344669342041016,5167.037159
8,6.324201583862305,5167.037116
8,6.5482177734375,5162.799878
8,6.604228734970093,1004.168063
8,11.371395826339722,937.893522
8,11.379498958587646,937.892537
8,11.384875774383545,937.891552
8,11.392868995666504,937.890567
8,11.40035343170166,937.889582
8,11.40690565109253,937.888597
8,11.633333683013916,937.887612
8,11.730891704559326,937.886627
8,11.735345363616943,937.885642
8,11.899396657943726,937.884657
8,11.941234827041626,937.884614
8,11.959934711456299,937.883629
8,11.980257511138916,937.882644
8,12.308130741119385,915.116192
8,12.328217506408691,915.116149
8,12.34839129447937,915.116106
8,12.374032735824585,915.116063
8,12.69411587715149,915.11602
8,13.357661724090576,915.115977
8,13.584301233291626,915.115934
8,14.549420595169067,915.115891
8,15.294864416122437,915.115848
8,15.351804256439209,915.115805
8,15.40357518196106,915.115762
8,15.456886053085327,915.115719
8,15.511513471603394,915.115676
8,15.565484762191772,915.115633
8,17.498836994171143,915.11559
8,17.704142093658447,909.932009
8,18.1451313495636,909.930814
8,18.19273042678833,909.929619
8,18.777894496917725,909.928424
8,18.832648515701294,909.927229
8,18.915640115737915,909.926034
